seed,source,target,model,budget,strategy,n_train,held_family,mcc,macro_f1,fp_rate,auprc_macro,tpr_at_fpr01_oracle,tpr_at_fpr001_oracle,tpr_at_fpr01_buffer,fpr_at_fpr01_buffer,tpr_at_fpr001_buffer,fpr_at_fpr001_buffer,tpr_heldout_family,fit_s,apply_s
42,nf2018v2,nfunswv2,rf,0.0001,calibrate_cost,144,,0.0,0.49037055157195203,0.0,0.5342698227202077,0.0,0.0,0.0,0.004442897080678854,0.0,0.0,,0.011,0.004
42,nf2018v2,nfunswv2,rf,0.0001,rethreshold_cost,144,,0.1532694460072396,0.47763476597335564,0.30832666465740327,0.5342698227202077,0.0,0.0,0.0,0.004442897080678854,0.0,0.0,,0.0007,0.0002
42,nf2018v2,nfunswv2,rf,0.001,calibrate_cost,1392,,0.0,0.49037055157195203,0.0,0.5342698227202077,0.0,0.0,0.0,0.004442897080678854,0.0,0.0,,0.0037,0.004
42,nf2018v2,nfunswv2,rf,0.001,rethreshold_cost,1392,,0.21053485161457283,0.587295126148683,0.08524126749877885,0.5342698227202077,0.0,0.0,0.0,0.004442897080678854,0.0,0.0,,0.0007,0.0002
42,nf2018v2,nfunswv2,rf,0.001,finetune_x1,251391,,0.11720380531977403,0.5052265056055725,2.5981854272975754e-05,0.7518928199086368,0.2914792273088119,0.16141836464673193,0.2838052394813443,0.008761081260847424,0.17015083355385022,0.0011899689257022896,,0.9,
42,nf2018v2,nfunswv2,rf,0.001,finetune_x3,251391,,0.6998612090339265,0.8352292152558611,0.0013666455347585247,0.959517884293045,0.9859751256946282,0.36001587721619477,0.818205874569992,0.003263320896685755,0.818205874569992,0.003263320896685755,,1.3,
42,nf2018v2,nfunswv2,rf,0.001,finetune_x10,251391,,0.8815183429432936,0.9405612001142731,0.005778364390309807,0.9608501128217745,0.9984122783805239,0.4444297433183382,0.8572373643821116,0.0049469450535745835,0.8572373643821116,0.0049469450535745835,,3.1,
42,nf2018v2,nfunswv2,rf,0.01,calibrate_cost,13907,,0.0,0.49037055157195203,0.0,0.5342698227202077,0.0,0.0,0.0,0.004442897080678854,0.0,0.0,,0.0761,0.0071
42,nf2018v2,nfunswv2,rf,0.01,rethreshold_cost,13907,,0.21301849557248545,0.58493825310672,0.09310857297263592,0.5342698227202077,0.0,0.0,0.0,0.004442897080678854,0.0,0.0,,0.0031,0.0003
42,nf2018v2,nfunswv2,rf,0.01,finetune_x1,263906,,0.13007068921478337,0.5084563057073607,2.5981854272975754e-05,0.7820546576930578,0.37536385287112994,0.18946811325747553,0.3983858163535327,0.011847725548476944,0.20706536120666844,0.0015069475478325938,,0.9,
42,nf2018v2,nfunswv2,rf,0.01,finetune_x3,263906,,0.8169550141090389,0.902701524119431,0.0009197576412633417,0.9756278887340767,0.9822704419158508,0.7294257740142895,0.9155861338978566,0.0023851342222591743,0.9155861338978566,0.0023851342222591743,,1.3,
42,nf2018v2,nfunswv2,rf,0.01,finetune_x10,263906,,0.9339591223740745,0.9669569706859276,0.002894378566009499,0.9832302282562491,0.9986768986504366,0.7150039693040486,0.919687748081503,0.0023955269639683646,0.919687748081503,0.0023955269639683646,,3.4,
42,nf2018v2,nftonv2,rf,0.0001,calibrate_cost,213,,0.0,0.42062190755396933,1.0,0.5002462167402513,0.0,0.0,0.0,0.0,0.0,0.0,,0.0024,0.004
42,nf2018v2,nftonv2,rf,0.0001,rethreshold_cost,213,,0.29654375539640165,0.5602595871593694,0.8443304988869019,0.5002462167402513,0.0,0.0,0.0,0.0,0.0,0.0,,0.0006,0.0002
42,nf2018v2,nftonv2,rf,0.001,calibrate_cost,2100,,0.0,0.42062190755396933,1.0,0.5002462167402513,0.0,0.0,0.0,0.0,0.0,0.0,,0.0032,0.004
