seed,source,target,model,budget,strategy,n_train,held_family,keep_share,n_features,n_dropped,mcc,macro_f1,fp_rate,auprc_macro,mcc_best_thr,orient,tpr_at_fpr01_buffer,tpr_heldout_family,fit_s
42,nf2018v2,nfunswv2,rf,0,drop_flipped,249999,,,33,8,0.08144461750897966,0.5035574174547971,0.0004416915226405878,0.4996139178550752,0.1081302091042514,-1,,,38.6
42,nf2018v2,nfunswv2,lgbm,0,drop_flipped,249999,,,33,8,0.14286506924431625,0.5507379609830416,0.005960237370220638,0.5249226413128836,0.18427564636090082,1,,,4.7
42,nf2018v2,nfunswv2,mlp,0,drop_flipped,249999,,,33,8,-0.0270329586850847,0.484813401463261,0.06892985938620468,0.4771424760842244,0.3098026389149996,-1,,,16.9
42,nf2018v2,nfunswv2,rf,0,drop_random,249999,,,33,8,0.04513452258872079,0.4925030350666904,0.0,0.4871811223375893,0.2542450820227385,-1,,,30.3
42,nf2018v2,nfunswv2,lgbm,0,drop_random,249999,,,33,8,0.08533759401855948,0.5152400169923369,0.0021980648714937487,0.5427858422276451,0.1859505541602397,1,,,2.8
42,nf2018v2,nfunswv2,mlp,0,drop_random,249999,,,33,8,-0.05420270993011184,0.4659069006621626,0.1194853514305609,0.4693567822531414,0.35978609521155364,-1,,,29.9
42,nf2018v2,nftonv2,rf,0,drop_flipped,249999,,,37,4,-0.08541797598200862,0.28775123011834114,0.16749388708441298,0.5783309100549106,0.3238232590364668,-1,,,36.2
42,nf2018v2,nftonv2,lgbm,0,drop_flipped,249999,,,37,4,-0.01162944271681431,0.33764017272925495,0.17336958505164046,0.6249806834578315,0.3135876324747709,1,,,4.7
42,nf2018v2,nftonv2,mlp,0,drop_flipped,249999,,,37,4,-0.004465850093715152,0.3762588186149498,0.23541111638261378,0.5635210178444889,0.24590140347130518,1,,,18.6
42,nf2018v2,nftonv2,rf,0,drop_random,249999,,,37,4,-0.04599866313873144,0.31178504404495144,0.16796832232400277,0.5501929503228024,0.32408237486126945,-1,,,36.7
